Chip No.,Initial mass (g),Final mass (g),dmass (g),Moisture content,Bake time (min),First_Peak_ADC,Force (kg),FirstPeak Force (N),MaxForce_ADC,MaxForce (kg),MaxForce (N),Time_Peak,Time_Max,Time_Start,Time_End,dt (s),dt,PeakForce_N,MaxForce_N,Threshold_N,FractureEnergy_J
1,2.1,1.7,0.4,19%,4,9993.569836,2.4113741,23.656,20230.16484,4.875292407,47.82661852,3.5875,4.3375,3.3,4.3875,1.0875,1.375,23.65557992,47.82661852,9.565323703,0.169458609
2,2.7,1.9,0.8,30%,4,14892.73536,3.590588831,35.224,17692.08088,4.264383064,41.83359786,4.7875,5.1375,4.325,5.1875,0.8625,1.8,35.22367643,41.83359786,8.366719571,0.136215282
3,2.5,1.8,0.7,28%,4,21650.15488,5.217079833,51.180,22368.01866,5.389867535,52.87460051,4,5.425,3.9125,5.6375,1.725,2.2875,11.99618227,52.87460051,10.5749201,0.298994609
4,2.5,1.9,0.6,24%,4,18368.58276,4.427215077,43.431,18444.79092,4.445558158,43.61092553,3.95,4.3875,3.4,4.4375,1.0375,1.85,43.4309799,43.61092553,8.722185107,0.173763648
5,2.4,1.9,0.5,21%,4,9816.934479,2.368858489,23.239,16831.31972,4.057200385,39.80113577,5.025,6.2625,4.625,6.9125,2.2875,2.7,23.23850178,39.80113577,7.960227155,0.324797371
6,2.3,1.9,0.4,17%,4,13259.2211,3.197406754,31.367,16962.58013,4.088794379,40.11107286,4.7125,5.2,4.325,5.45,1.125,1.8375,31.36656026,40.11107286,8.022214572,0.169280818
7,2.4,1.9,0.5,21%,4,7983.933028,1.927660431,18.910,16009.13627,3.859303246,37.85976484,4.9125,6.0375,4.6625,6.6625,2,2.4125,18.91034883,37.85976484,7.571952968,0.24893441
8,2.7,1.9,0.8,30%,4,15107.38702,3.642254855,35.731,15323.32791,3.694231191,36.24040798,3.125,3.25,2.675,3.5375,0.8625,1.0125,35.73052013,36.24040798,7.248081597,0.12043639
9,2.6,1.8,0.8,31%,4,15985.45865,3.853604114,37.804,15985.45865,3.853604114,37.80385636,3.4,3.4,2.825,4.1625,1.3375,2.0875,37.80385636,37.80385636,7.560771272,0.162233907
10,2.1,1.7,0.4,19%,4,8036.471327,1.940306245,19.034,16790.1586,4.047293025,39.70394457,3.55,4.25,3.375,4.3,0.925,1.2,19.03440427,39.70394457,7.940788915,0.121700523
11,2.3,1.7,0.6,26%,3.5,11135.96916,2.686346257,26.353,14422.61861,3.477433112,34.11361883,3.7125,3.9125,3.3375,4.4125,1.075,1.8375,26.35305678,34.11361883,6.822723766,0.126070209
12,2.3,1.8,0.5,22%,3.5,16972.61455,4.091209635,40.135,16972.61455,4.091209635,40.13476652,4.2625,4.2625,3.425,5.3,1.875,2.425,40.13476652,40.13476652,8.026953304,0.251923271
13,2.4,1.8,0.6,25%,3.5,15444.72696,3.723451586,36.527,17612.47152,4.245221327,41.64562121,4.925,5.0625,4.45,5.5625,1.1125,1.9,36.52706006,41.64562121,8.329124243,0.16131564
14,2.3,1.9,0.4,17%,3.5,20484.05133,4.936402141,48.426,20484.05133,4.936402141,48.426105,5.2375,5.2375,3.7625,5.9,2.1375,2.9375,48.426105,48.426105,9.685221,0.332393534
15,2.8,1.9,0.9,32%,3.5,20426.53532,4.922558206,48.290,20426.53532,4.922558206,48.290296,4.1375,4.1375,3.525,4.4,0.875,1.0875,48.290296,48.290296,9.658059199,0.137767201
16,2.8,2.3,0.5,18%,3.5,21538.05632,5.19009804,50.915,21538.05632,5.19009804,50.91486177,4.8125,4.8125,3.4625,5.475,2.0125,2.8,50.91486177,50.91486177,10.18297235,0.330645189
17,2.8,2,0.8,29%,3.5,26414.8477,6.363927381,62.430,26414.8477,6.363927381,62.43012761,4.2125,4.2125,3.3875,4.2625,0.875,1.1625,62.43012761,62.43012761,12.48602552,0.184419528
18,2.7,2.2,0.5,19%,3.5,23174.93086,5.584088929,54.780,23174.93086,5.584088929,54.77991239,5.0125,5.0125,3.5375,5.2125,1.675,2.2875,54.77991239,54.77991239,10.95598248,0.310624648
19,2.3,1.7,0.6,26%,3.5,13653.25479,3.292249503,32.297,13653.25479,3.292249503,32.29696763,4.5875,4.5875,4.1875,5.125,0.9375,1.6875,32.29696763,32.29696763,6.459393525,0.107707098
20,2.3,1.9,0.4,17%,3.5,19729.907,4.754881817,46.645,19729.907,4.754881817,46.64539062,4.25,4.25,3.275,4.4875,1.2125,1.85,46.64539062,46.64539062,9.329078124,0.198079879
21,2.4,1.9,0.5,21%,4.5,19910.00414,4.798230669,47.071,19910.00414,4.798230669,47.07064287,3.125,3.125,2.45,3.5625,1.1125,1.275,47.07064287,47.07064287,9.414128573,0.173852605
22,2.9,1.9,1,34%,4.5,22950.21844,5.530001309,54.249,22950.21844,5.530001309,54.24931285,4.1375,4.1375,3.4375,4.1875,0.75,0.9625,54.24931285,54.24931285,10.84986257,0.133786156
23,2.2,1.6,0.6,27%,4.5,15164.09268,3.655903741,35.864,15164.09268,3.655903741,35.86441569,5.075,5.075,4.575,5.55,0.975,1.85,35.86441569,35.86441569,7.172883139,0.141208732
24,2.3,2,0.3,13%,4.5,16470.04485,3.970242586,38.948,16786.75933,4.046474831,39.69591809,3,3.8125,2.4625,4.0875,1.625,1.9375,38.94807977,39.69591809,7.939183618,0.257998012
25,2.1,1.6,0.5,24%,4.5,13982.06952,3.371394244,33.073,15029.23653,3.623444262,35.54598821,3.9,4.3625,3.4375,4.6125,1.175,1.5,33.07337753,35.54598821,7.109197643,0.146240166
26,2.1,1.8,0.3,14%,4.5,9674.404054,2.334551835,22.902,14041.60763,3.38572489,33.21396117,3.0875,4.25,2.7,4.75,2.05,2.475,22.9019535,33.21396117,6.642792234,0.262295987
27,2.4,1.8,0.6,25%,4.5,16811.42137,4.05241091,39.754,16811.42137,4.05241091,39.75415103,3.7,3.7,3.1375,4.0625,0.925,1.25,39.75415103,39.75415103,7.950830206,0.119949611
28,2.2,1.9,0.3,14%,4.5,20274.75403,4.886024894,47.932,20468.41623,4.932638816,48.38918679,4.475,4.7375,3.2625,5.25,1.9875,2.5375,47.93190421,48.38918679,9.677837358,0.331276479
29,2.3,1.7,0.6,26%,4.5,10711.42347,2.584159358,25.351,13682.57953,3.299307883,32.36621033,3.5125,4.0875,3.1625,4.1375,0.975,1.825,25.3506033,32.36621033,6.473242066,0.120185258
30,2.2,1.8,0.4,18%,4.5,17815.58799,4.294110862,42.125,17815.58799,4.294110862,42.12522755,4.0875,4.0875,3.4,4.725,1.325,1.8875,42.12522755,42.12522755,8.425045511,0.206077349
31,2.7,1.8,0.9,33%,5,17145.27263,4.132767927,40.542,18878.64498,4.549985554,44.63535829,4.4125,4.55,3.85,4.7875,0.9375,2.1125,40.54245337,44.63535829,8.927071658,0.166946352
32,2.1,1.7,0.4,19%,5,8010.984248,1.93417158,18.974,16234.65314,3.913584495,38.39226389,2.75,3.4,2.4125,4.1375,1.725,2.125,18.9742232,38.39226389,7.678452778,0.16843096
33,2.1,1.6,0.5,24%,5,7273.035449,1.756549475,17.232,12416.46224,2.994557174,29.37660588,2.1875,2.5875,1.9625,2.8875,0.925,1.825,17.23175035,29.37660588,5.875321176,0.102410387
35,2.1,1.5,0.6,29%,5,7592.696508,1.833490952,17.987,12965.93231,3.126813005,30.67403558,3.6375,4.9625,3.625,5.4125,1.7875,2.2625,6.468665103,30.67403558,6.134807116,0.141757612
36,2.3,1.9,0.4,17%,5,14491.58135,3.494032241,34.276,19296.19552,4.65048874,45.62129454,4.075,4.5875,3.5875,4.6375,1.05,1.375,34.27645629,45.62129454,9.124258908,0.158812154
37,2.1,1.8,0.3,14%,5,8073.868807,1.949307709,19.123,9645.300437,2.32754668,22.83323293,2.825,3.2625,2.3625,3.8125,1.45,2.2,19.12270862,22.83323293,4.566646586,0.106969755
38,2.2,1.9,0.3,14%,5,8927.430721,2.154757551,21.138,11191.81897,2.699789141,26.48493147,3.6375,4.15,3.35,4.575,1.225,2.025,21.13817157,26.48493147,5.296986295,0.115815486
39,2.7,2,0.7,26%,5,10494.58911,2.531967967,24.839,14638.16413,3.529314286,34.62257315,2.825,3.075,2.425,4.6,2.175,2.4875,24.83860575,34.62257315,6.92451463,0.198032281
40,2.5,2.1,0.4,16%,5,12653.05136,3.05150348,29.935,12886.27196,3.107638994,30.48593853,3.9,4.2125,3.5,4.3,0.8,0.9375,29.93524914,30.48593853,6.097187706,0.091685163
41,2.4,1.9,0.5,21%,5.5,17683.51993,4.262322469,41.813,17683.51993,4.262322469,41.81338342,3,3.5875,2.975,3.95,0.975,1.425,9.542271243,41.81338342,8.362676684,0.116610398
43,2.5,1.6,0.9,36%,5.5,5540.017655,1.339417189,13.140,15560.04577,3.751208485,36.79935523,4.125,4.6375,4,5.4625,1.4625,2.25,13.13968263,36.79935523,7.359871047,0.187734655
44,2.2,1.6,0.6,27%,5.5,8046.836054,1.942801005,19.059,17496.25246,4.217247739,41.37120032,4.625,5.475,4.4375,5.55,1.1125,1.3,19.05887786,41.37120032,8.274240064,0.15153548
45,2.3,1.6,0.7,30%,5.5,11364.52154,2.741358143,26.893,21324.34764,5.138658989,50.41024469,4.7125,5.5375,4.2875,5.75,1.4625,2.2,26.89272338,50.41024469,10.08204894,0.240085519
46,2.2,1.5,0.7,32%,5.5,7024.680066,1.696771065,16.645,13036.58312,3.143818447,30.84085896,4.6625,5.2,4.35,5.6125,1.2625,1.9375,16.64532415,30.84085896,6.168171793,0.10816386
47,2.7,1.9,0.8,30%,5.5,15394.07274,3.711259264,36.407,17147.47733,4.133298591,40.54765918,4.35,4.525,3.8625,4.8375,0.975,1.7125,36.40745338,40.54765918,8.109531836,0.146098462
48,2.2,1.7,0.5,23%,5.5,11342.70434,2.736106807,26.841,15586.82679,3.757654598,36.86259161,4,4.575,3.6625,5.2125,1.55,1.875,26.84120778,36.86259161,7.372518321,0.155256598
49,2.2,1.6,0.6,27%,5.5,8435.257611,2.036292931,19.976,12706.97294,3.064482246,30.06257084,4.575,5.2,4.3,5.65,1.35,1.975,19.97603365,30.06257084,6.012514167,0.146932617
50,2.3,1.6,0.7,30%,5.5,11538.27727,2.783180635,27.303,15510.48328,3.739278938,36.68232638,5.1375,5.3375,4.8,5.925,1.125,1.775,27.30300203,36.68232638,7.336465277,0.128799833
51,2.7,1.9,0.8,30%,6,17763.7164,4.281625524,42.003,17763.7164,4.281625524,42.00274639,5.0875,5.0875,4.575,5.4875,0.9125,1.1125,42.00274639,42.00274639,8.400549278,0.130968413
53,2.5,2,0.5,20%,6,14557.32204,3.509855833,34.432,22661.29462,5.460458195,53.56709489,5.5125,6.45,5.1,7.2625,2.1625,2.625,34.43168572,53.56709489,10.71341898,0.298314369
54,2.9,2.1,0.8,28%,6,21589.57109,5.202497494,51.037,21589.57109,5.202497494,51.03650041,3.95,3.95,3.3,4,0.7,0.9625,51.03650041,51.03650041,10.20730008,0.118336777
55,2.7,2,0.7,26%,6,21459.1954,5.17111645,50.729,23672.46398,5.703843687,55.95470657,4.25,4.425,3.4,4.7875,1.3875,1.8,50.72865237,55.95470657,11.19094131,0.226281221
56,2.8,2,0.8,29%,6,22449.5866,5.409500699,53.067,22449.5866,5.409500699,53.06720186,3.8125,3.8125,3.1375,3.8625,0.725,1.95,53.06720186,53.06720186,10.61344037,0.140717413
57,2.3,1.6,0.7,30%,6,10687.61609,2.578428991,25.294,14182.36411,3.419604562,33.54632076,3.3625,3.75,2.95,4.725,1.775,2.1,25.2943884,33.54632076,6.709264151,0.15675203
58,2.5,1.7,0.8,32%,6,12854.74895,3.100051497,30.412,18076.39772,4.356886997,42.74106144,3.575,4.2375,3.1375,4.975,1.8375,2.15,30.41150518,42.74106144,8.548212288,0.212474766
59,2.6,1.9,0.7,27%,6,10951.87403,2.642035101,25.918,18395.26923,4.433638433,43.49399302,3.3875,4.0375,3.025,4.3875,1.3625,2.1,25.91836434,43.49399302,8.698798605,0.182567861
60,2.5,1.7,0.8,32%,6,11623.7316,2.803749241,27.505,12963.45312,3.12621627,30.66818161,3.475,4.0625,3.4,4.4875,1.0875,2.1625,8.244733867,30.66818161,6.133636322,0.114600824
61,2.7,2.1,0.6,22%,3,10490.70339,2.531032683,24.829,18145.30153,4.373471942,42.90375975,3.425,4.75,3.075,4.975,1.9,2.2375,24.82943062,42.90375975,8.580751949,0.303255347
62,2.6,1.9,0.7,27%,3,22693.14816,5.468125248,53.642,22693.14816,5.468125248,53.64230869,4.475,4.475,3.7125,4.65,0.9375,1.8125,53.64230869,53.64230869,10.72846174,0.17936787
63,2.6,2.1,0.5,19%,3,15805.3269,3.81024693,37.379,15805.3269,3.81024693,37.37852239,4.0375,4.0375,3.225,5.4,2.175,2.6375,37.37852239,37.37852239,7.475704477,0.303933922
64,2.4,1.9,0.5,21%,3,12575.32138,3.032794102,29.752,16716.07115,4.029460393,39.52900645,4.5875,4.8375,4.1125,5.075,0.9625,1.9375,29.75171014,39.52900645,7.905801291,0.139259802
65,2.9,2.3,0.6,21%,3,8342.682968,2.014010487,19.757,20624.25219,4.970148074,48.75715261,3,4.225,2.7125,4.65,1.9375,2.5375,19.75744287,48.75715261,9.751430521,0.328563751
66,2.7,1.9,0.8,30%,3,14126.24915,3.406097855,33.414,21204.21737,5.109743987,50.12658851,2.375,3.125,2,3.175,1.175,1.9125,33.41381996,50.12658851,10.0253177,0.205973211
67,2.5,2,0.5,20%,3,8941.352884,2.158108575,21.171,15444.75893,3.723459281,36.52713555,3.3125,3.9875,2.9625,4.55,1.5875,2.25,21.17104512,36.52713555,7.30542711,0.210642718
68,2.4,1.6,0.8,33%,3,17756.41177,4.279867321,41.985,17756.41177,4.279867321,41.98549842,3.7625,3.7625,3.2,4.175,0.975,1.9,41.98549842,41.98549842,8.397099684,0.145951739
69,2.5,1.8,0.7,28%,3,10891.49281,2.627501518,25.776,11039.80607,2.663200083,26.12599282,3.15,3.2625,2.8,3.8375,1.0375,2.1875,25.77578989,26.12599282,5.225198563,0.08910059
70,2.4,1.7,0.7,29%,3,19908.72215,4.797922099,47.068,19908.72215,4.797922099,47.0676158,4.05,4.05,3.425,4.25,0.825,1.6375,47.0676158,47.0676158,9.413523159,0.15001702
